feature,mean_abs_shap
PREDICT_original_logf_kurtosis_sigma1,0.4581791170441402
"PREDICT_original_vf_Frangi_full_entropy_SR(1.0, 10.0)_SS2.0",0.40118861283793966
PREDICT_original_sf_area_min_2.5D,0.37900524720314804
PREDICT_original_tf_LBP_mean_R3_P12,0.3475839337876148
PREDICT_original_logf_median_sigma1,0.34713562082627564
PREDICT_original_tf_Gabor_min_F0.05_A2.36,0.32369740207089726
PREDICT_original_logf_std_sigma5,0.2647526386659296
PREDICT_original_tf_LBP_quartile_range_R15_P36,0.2548777836139873
PREDICT_original_tf_Gabor_peak_F0.05_A2.36,0.23570830103559773
PREDICT_original_logf_quartile_range_sigma1,0.19785028758427098
PREDICT_original_logf_median_sigma10,0.1963317169276058
PREDICT_original_tf_Gabor_kurtosis_F0.05_A0.79,0.19043541537170466
PREDICT_original_hf_energy,0.1706859624105555
PREDICT_original_tf_LBP_std_R8_P24,0.15642289554811345
PREDICT_original_sf_rad_dist_avg_2.5D,0.1412279405745545
PREDICT_original_tf_Gabor_skewness_F0.5_A0.79,0.14079434901243373
PREDICT_original_tf_Gabor_peak_F0.2_A2.36,0.134703684884006
PREDICT_original_tf_Gabor_kurtosis_F0.2_A0.0,0.12966654030353383
PREDICT_original_hf_max,0.1284077178212905
PREDICT_original_logf_quartile_range_sigma5,0.119244307356611
PREDICT_original_tf_Gabor_quartile_range_F0.5_A0.0,0.10972137692911758
PREDICT_original_of_theta_z,0.10416639862581296
PREDICT_original_logf_min_sigma5,0.10329098210802358
PREDICT_original_tf_Gabor_peak_position_F0.5_A0.79,0.09945026785864104
PREDICT_original_tf_Gabor_median_F0.05_A2.36,0.08788952340634038
PREDICT_original_tf_Gabor_kurtosis_F0.05_A2.36,0.08238405535660864
PREDICT_original_tf_Gabor_median_F0.5_A0.0,0.07909666601413645
PREDICT_original_tf_Gabor_skewness_F0.2_A0.79,0.06898821247553946
PREDICT_original_tf_Gabor_max_F0.05_A0.0,0.06795814015537753
PREDICT_original_tf_Gabor_skewness_F0.2_A0.0,0.06675976740024105
PREDICT_original_tf_Gabor_skewness_F0.5_A0.0,0.06389220549504725
PREDICT_original_tf_Gabor_min_F0.05_A0.79,0.06379321674599728
PREDICT_original_sf_cvar_avg_2.5D,0.06286706201891201
PREDICT_original_tf_Gabor_peak_F0.2_A1.57,0.053839336745210464
"PREDICT_original_vf_Frangi_inner_median_SR(1.0, 10.0)_SS2.0",0.04431412611754857
PREDICT_original_tf_GLCMMS_correlationd3.0A1.57mean,0.023071575350959193
PREDICT_original_sf_area_avg_2.5D,0.021832659727325922
PREDICT_original_logf_peak_sigma10,0.02177389620546224
PREDICT_original_logf_mean_sigma1,0.01898269432748619
PREDICT_original_tf_Gabor_min_F0.5_A0.0,0.01816235265617254
PREDICT_original_logf_max_sigma5,0.017931024776364792
PREDICT_original_tf_Gabor_kurtosis_F0.05_A0.0,0.010713815920845679
PREDICT_original_tf_Gabor_min_F0.05_A1.57,0.0081619772017135
PREDICT_original_tf_Gabor_min_F0.05_A0.0,0.0073749475098307
PREDICT_original_tf_Gabor_min_F0.5_A0.79,0.006490281352658292
PREDICT_original_tf_Gabor_min_F0.2_A0.0,0.004865404734117286
PREDICT_original_logf_min_sigma1,0.0022122501380521034
PREDICT_original_phasef_phasecong_median_WL3_N5,4.8057125362400705e-06
"PREDICT_original_vf_Frangi_full_median_SR(1.0, 10.0)_SS2.0",3.4927455001389785e-21
