feature,mean_abs_shap
PREDICT_original_logf_kurtosis_sigma1,0.35358652495803844
PREDICT_original_hf_max,0.26142315698379864
PREDICT_original_tf_LBP_mean_R3_P12,0.257566222537178
PREDICT_original_sf_area_min_2.5D,0.20512392011217281
PREDICT_original_logf_quartile_range_sigma1,0.20439372770899358
PREDICT_original_tf_Gabor_peak_F0.05_A2.36,0.15586404299218928
PREDICT_original_logf_median_sigma1,0.14524486142506624
PREDICT_original_logf_quartile_range_sigma5,0.1345821297330722
PREDICT_original_tf_Gabor_min_F0.05_A2.36,0.11465817295892813
PREDICT_original_hf_energy,0.09673537822857277
PREDICT_original_logf_mean_sigma1,0.0671877816055264
PREDICT_original_tf_Gabor_min_F0.05_A0.79,0.06366703392254566
PREDICT_original_tf_Gabor_peak_F0.2_A1.57,0.06088641747683662
PREDICT_original_tf_Gabor_skewness_F0.5_A0.0,0.05621069609663178
PREDICT_original_tf_LBP_std_R8_P24,0.05280905490492497
PREDICT_original_tf_Gabor_skewness_F0.2_A0.0,0.03993189783525093
PREDICT_original_logf_median_sigma10,0.03523462896416733
PREDICT_original_sf_area_avg_2.5D,0.03346500145219418
PREDICT_original_logf_std_sigma5,0.03198363091338824
PREDICT_original_tf_LBP_quartile_range_R15_P36,0.028809889464297446
PREDICT_original_logf_peak_sigma10,0.022003160592748306
PREDICT_original_tf_Gabor_quartile_range_F0.5_A0.0,0.017581976786076488
PREDICT_original_sf_rad_dist_avg_2.5D,0.011341981663328565
PREDICT_original_logf_min_sigma1,0.007319298679007359
PREDICT_original_logf_min_sigma5,0.0021573122044691384
"PREDICT_original_vf_Frangi_full_median_SR(1.0, 10.0)_SS2.0",5.526807115574894e-21
